,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
113,Mauritius,2020-11-29 12:27:23,-20.348404,57.552152,501.0,10.0,443.0,48.0,39.39400849369421,,,1.996007984031936,480,MUS
114,Mexico,2020-11-29 12:27:23,23.6345,-102.5528,1101403.0,105459.0,813254.0,182690.0,861.8697062825843,,,9.574969379963557,484,MEX
115,Moldova,2020-11-29 12:27:23,47.4116,28.3699,105852.0,2269.0,93028.0,10555.0,2624.020101324677,,,2.1435589313380947,498,MDA
116,Monaco,2020-11-29 12:27:23,43.7333,7.4167,607.0,3.0,537.0,67.0,1546.7332585873,,,0.4942339373970346,492,MCO
117,Mongolia,2020-11-29 12:27:23,46.8625,103.8467,784.0,0.0,354.0,430.0,23.91489226707078,,,0.0,496,MNG
118,Montenegro,2020-11-29 12:27:23,42.708678000000006,19.37439,34454.0,481.0,22796.0,11177.0,5485.764144304225,,,1.3960643176409124,499,MNE
119,Morocco,2020-11-29 12:27:23,31.7917,-7.0926,349688.0,5739.0,298574.0,45375.0,947.3928841715152,,,1.6411772780307017,504,MAR
120,Mozambique,2020-11-29 12:27:23,-18.665695,35.529562,15586.0,129.0,13677.0,1780.0,49.866527213587005,,,0.8276658539715129,508,MOZ
121,Namibia,2020-11-29 12:27:23,-22.9576,18.4904,14285.0,150.0,13412.0,723.0,562.1988290836848,,,1.0500525026251313,516,NAM
122,Nepal,2020-11-29 12:27:23,28.1667,84.25,231978.0,1479.0,212590.0,17909.0,796.1682007171137,,,0.6375604583193234,524,NPL
123,Netherlands,2020-11-29 12:27:23,52.3167,5.55,521639.0,9403.0,6889.0,505347.0,3044.3120296251977,,,1.8025876132727805,528,NLD
124,New Zealand,2020-11-29 12:27:23,-40.9006,174.886,2050.0,25.0,1956.0,69.0,42.51142572331117,,,1.2195121951219512,554,NZL
125,Nicaragua,2020-11-29 12:27:23,12.865416,-85.207229,5784.0,160.0,4225.0,1399.0,87.31153825600937,,,2.7662517289073305,558,NIC
126,Niger,2020-11-29 12:27:23,17.607789,8.081666,1484.0,70.0,1205.0,209.0,6.130550316863523,,,4.716981132075472,562,NER
127,Nigeria,2020-11-29 12:27:23,9.082,8.6753,67330.0,1171.0,62819.0,3340.0,32.66233380005753,,,1.7391950096539432,566,NGA
128,North Macedonia,2020-11-29 12:27:23,41.6086,21.7453,60723.0,1699.0,37505.0,21519.0,2914.6387120928493,,,2.797951352864648,807,MKD
129,Norway,2020-11-29 12:27:23,60.472,8.4689,35546.0,328.0,17998.0,17220.0,655.6800083818431,,,0.9227479885219152,578,NOR
130,Oman,2020-11-29 12:27:23,21.512583,55.92325500000001,123484.0,1418.0,114963.0,7103.0,2418.115145393569,,,1.1483269087493118,512,OMN
131,Pakistan,2020-11-29 12:27:23,30.3753,69.3451,395185.0,7985.0,339810.0,47390.0,178.90390228169582,,,2.0205726431924287,586,PAK
132,Panama,2020-11-29 12:27:23,8.538,-80.7821,163453.0,3039.0,142872.0,17542.0,3788.2222172779625,,,1.8592500596501744,591,PAN
133,Papua New Guinea,2020-11-29 12:27:23,-6.314993,143.95555,645.0,7.0,588.0,50.0,7.209098620133816,,,1.0852713178294573,598,PNG
134,Paraguay,2020-11-29 12:27:23,-23.4425,-58.4438,81131.0,1731.0,57496.0,21904.0,1137.4785665114625,,,2.1335864219595466,600,PRY
135,Peru,2020-11-29 12:27:23,-9.19,-75.0152,960368.0,35879.0,891004.0,33485.0,2912.6910273692292,,,3.735963713909668,604,PER
136,Philippines,2020-11-29 12:27:23,12.879721,121.774017,429864.0,8373.0,398624.0,22867.0,392.279379237758,,,1.9478253587181065,608,PHL
137,Poland,2020-11-29 12:27:23,51.9194,19.1451,985075.0,17029.0,559429.0,408617.0,2602.8094197616933,,,1.7287008603405831,616,POL
138,Portugal,2020-11-29 12:27:23,39.3999,-8.2245,290706.0,4363.0,206275.0,80068.0,2850.979242612345,,,1.5008290162569744,620,PRT
139,Qatar,2020-11-29 12:27:23,25.3548,51.1839,138648.0,237.0,135862.0,2549.0,4812.395437790257,,,0.17093647221741387,634,QAT
140,Romania,2020-11-29 12:27:23,45.9432,24.9668,471536.0,11193.0,348852.0,111491.0,2451.106115591265,,,2.373731804146449,642,ROU
141,Russia,2020-11-29 12:27:23,61.524,105.3188,2249890.0,39127.0,1746279.0,464484.0,1541.7126290802048,,,1.7390627986257106,643,RUS
142,Rwanda,2020-11-29 12:27:23,-1.9403,29.8739,5891.0,47.0,5480.0,364.0,45.48258910893115,,,0.7978271940247835,646,RWA
143,Saint Kitts and Nevis,2020-11-29 12:27:23,17.357822,-62.782998,22.0,0.0,19.0,3.0,41.3596029478117,,,0.0,659,KNA
144,Saint Lucia,2020-11-29 12:27:23,13.9094,-60.9789,252.0,2.0,109.0,141.0,137.23322568875287,,,0.7936507936507936,662,LCA
145,Saint Vincent and the Grenadines,2020-11-29 12:27:23,12.9843,-61.2872,85.0,0.0,79.0,6.0,76.61315763382515,,,0.0,670,VCT
146,San Marino,2020-11-29 12:27:23,43.9424,12.4578,1586.0,45.0,1285.0,256.0,4673.227650421357,,,2.837326607818411,674,SMR
147,Sao Tome and Principe,2020-11-29 12:27:23,0.1864,6.6131,989.0,17.0,930.0,42.0,451.2664205766537,,,1.718907987866532,678,STP
148,Saudi Arabia,2020-11-29 12:27:23,23.885942,45.079162,356911.0,5870.0,346023.0,5018.0,1025.1978040819195,,,1.6446677182827092,682,SAU
149,Senegal,2020-11-29 12:27:23,14.4974,-14.4524,16075.0,333.0,15597.0,145.0,96.0049402977676,,,2.07153965785381,686,SEN
150,Serbia,2020-11-29 12:27:23,44.0165,21.0059,163035.0,1484.0,0.0,161551.0,1865.9505091349,,,0.910233998834606,688,SRB
151,Seychelles,2020-11-29 12:27:23,-4.6796,55.492,173.0,0.0,162.0,11.0,175.92027659141755,,,0.0,690,SYC
152,Sierra Leone,2020-11-29 12:27:23,8.460555000000001,-11.779889,2410.0,74.0,1834.0,502.0,30.21191590557084,,,3.070539419087137,694,SLE
153,Singapore,2020-11-29 12:27:23,1.2833,103.8333,58213.0,29.0,58119.0,65.0,995.035675686024,,,0.04981705117413636,702,SGP
